Date,Event,Location,Lat,Lng
2/14/2018,Stoneman Douglas High School shooting,"Parkland, Florida",26.305244,-80.2695
1/28/2018,Pennsylvania carwash shooting,"Melcroft, PA",40.05197,-79.389181
11/14/2017,Rancho Tehama shooting spree,"Rancho Tehama, CA",40.0006884,-122.4580469
11/5/2017,Texas First Baptist Church massacre,"Sutherland Springs, TX",29.2732957,-98.0566728
11/1/2017,Walmart shooting in suburban Denver,"Thornton, CO",39.8680412,-104.9719243
10/18/2017,Edgewood business park shooting,"Edgewood, MD",39.4187194,-76.2944016
10/1/2017,Las Vegas Strip massacre,"Las Vegas, NV",36.1699412,-115.1398296
6/14/2017,San Francisco UPS shooting,"San Francisco, CA",37.7749295,-122.4194155
6/7/2017,Pennsylvania supermarket shooting,"Tunkhannock, PA",41.5386878,-75.946588
6/5/2017,Florida awning manufacturer shooting,"Orlando, Florida",28.5383355,-81.3792365
5/12/2017,Rural Ohio nursing home shooting,"Kirkersville, Ohio",39.9595081,-82.5957181
4/18/2017,Fresno downtown shooting,"Fresno, California",36.7468422,-119.7725868
1/6/2017,Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",26.1224386,-80.1373174
9/23/2016,Cascade Mall shooting,"Burlington, WA",48.4756621,-122.3254374
7/17/2016,Baton Rouge police shooting,"Baton Rouge, LA",30.4582829,-91.1403196
7/7/2016,Dallas police shooting,"Dallas, Texas",32.7766642,-96.7969879
6/12/2016,Orlando nightclub massacre,"Orlando, Florida",28.5383355,-81.3792365
2/25/2016,Excel Industries mass shooting,"Hesston, Kansas",38.1383437,-97.4314267
2/20/2016,Kalamazoo shooting spree,"Kalamazoo County, Michigan",42.2278346,-85.520024
12/2/2015,San Bernardino mass shooting,"San Bernardino, California",34.1083449,-117.2897652
11/27/2015,Planned Parenthood clinic,"Colorado Springs, Colorado",38.8338816,-104.8213634
10/31/2015,Colorado Springs shooting rampage,"Colorado Springs, Colorado",38.8338816,-104.8213634
10/1/2015,Umpqua Community College shooting,"Roseburg, Oregon",43.216505,-123.3417381
7/16/2015,Chattanooga military recruitment center,"Chattanooga, Tennessee",35.0456297,-85.3096801
6/17/2015,Charleston Church Shooting,"Charleston, South Carolina",32.7764749,-79.9310512
6/11/2015,Trestle Trail bridge shooting,"Menasha, Wisconsin",44.2022084,-88.4464973
10/24/2014,Marysville-Pilchuck High School shooting,"Marysville, Washington",48.0517637,-122.1770818
5/23/2014,Isla Vista mass murder,"Santa Barbara, California",34.4208305,-119.6981901
4/3/2014,Fort Hood shooting 2,"Fort Hood, Texas",31.1950013,-97.7413143
2/20/2014,Alturas tribal shooting,"Alturas, California",41.4871146,-120.5424555
9/16/2013,Washington Navy Yard shooting,"Washington, D.C.",38.9071923,-77.0368707
7/26/2013,Hialeah apartment shooting,"Hialeah, Florida",25.8575963,-80.2781057
6/7/2013,Santa Monica rampage,"Santa Monica, California",34.0194543,-118.4911912
4/21/2013,Pinewood Village Apartment shooting,"Federal Way, Washington",47.3223221,-122.3126222
3/13/2013,Mohawk Valley shootings,"Herkimer County, New York",43.1630587,-74.8741045
12/14/2012,Sandy Hook Elementary massacre,"Newtown, Connecticut",41.4141172,-73.3035651
9/27/2012,Accent Signage Systems shooting,"Minneapolis, Minnesota",44.977753,-93.2650108
8/5/2012,Sikh temple shooting,"Oak Creek, Wisconsin",42.8858503,-87.8631362
7/20/2012,Aurora theater shooting,"Aurora, Colorado",39.7294319,-104.8319195
5/20/2012,Seattle cafe shooting,"Seattle, Washington",47.6062095,-122.3320708
4/2/2012,Oikos University killings,"Oakland, California",37.8043637,-122.2711137
2/22/2012,Su Jung Health Sauna shooting,"Norcross, Georgia",33.9412127,-84.2135309
10/14/2011,Seal Beach shooting,"Seal Beach, California",33.7414085,-118.1047682
9/6/2011,IHOP shooting,"Carson City, Nevada",39.1637984,-119.7674034
1/8/2011,Tucson shooting,"Tucson, Arizona",32.2217429,-110.926479
8/3/2010,Hartford Beer Distributor shooting,"Manchester, Connecticut",41.7759301,-72.5215009
11/29/2009,Coffee shop police killings,"Parkland, Washington",47.1553769,-122.4340114
11/5/2009,Fort Hood massacre,"Fort Hood, Texas",31.1950013,-97.7413143
4/3/2009,Binghamton shootings,"Binghamton, New York",42.0986867,-75.9179738
3/29/2009,Carthage nursing home shooting,"Carthage, North Carolina",35.3459867,-79.4169711
6/25/2008,Atlantis Plastics shooting,"Henderson, Kentucky",37.8361538,-87.5900134
2/14/2008,Northern Illinois University shooting,"DeKalb, Illinois",41.9294736,-88.7503647
2/7/2008,Kirkwood City Council shooting,"Kirkwood, Missouri",38.5833862,-90.406785
12/5/2007,Westroads Mall shooting,"Omaha, Nebraska",41.2523634,-95.9979883
10/7/2007,Crandon shooting,"Crandon, Wisconsin",45.5719072,-88.9028922
4/16/2007,Virginia Tech massacre,"Blacksburg, Virginia",37.2295733,-80.4139393
2/12/2007,Trolley Square shooting,"Salt Lake City, Utah",40.7607793,-111.8910474
10/2/2006,Amish school shooting,"Lancaster County, Pennsylvania",40.0466571,-76.1783739
3/25/2006,Capitol Hill massacre,"Seattle, Washington",47.6062095,-122.3320708
1/30/2006,Goleta postal shootings,"Goleta, California",34.4358294,-119.8276389
3/21/2005,Red Lake massacre,"Red Lake, Minnesota",47.876346,-95.0169401
3/12/2005,Living Church of God shooting,"Brookfield, Wisconsin",43.0605671,-88.1064787
12/8/2004,Damageplan show shooting,"Columbus, Ohio",39.9611755,-82.9987942
7/8/2003,Lockheed Martin shooting,"Meridian, Mississippi",32.3643098,-88.703656
2/5/2001,Navistar shooting,"Melrose Park, Illinois",41.9005865,-87.8567276
12/26/2000,Wakefield massacre,"Wakefield, Massachusetts",42.5039395,-71.0723391
12/30/1999,Hotel shooting,"Tampa, Florida",27.950575,-82.4571776
11/2/1999,Xerox killings,"Honolulu, Hawaii",21.3069444,-157.8583333
9/15/1999,Wedgwood Baptist Church shooting,"Fort Worth, Texas",32.7554883,-97.3307658
7/29/1999,Atlanta day trading spree killings,"Atlanta, Georgia",33.7489954,-84.3879824
4/20/1999,Columbine High School massacre,"Littleton, Colorado",39.613321,-105.0166498
5/21/1998,Thurston High School shooting,"Springfield, Oregon",44.0462362,-123.0220289
3/24/1998,Westside Middle School killings,"Jonesboro, Arkansas",35.8422967,-90.704279
3/6/1998,Connecticut Lottery shooting,"Newington, Connecticut",41.6972996,-72.7228293
12/18/1997,Caltrans maintenance yard shooting,"Orange, California",33.7879139,-117.8531007
9/15/1997,R.E. Phelon Company shooting,"Aiken, South Carolina",33.5604168,-81.7195533
2/9/1996,Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",26.1224386,-80.1373174
4/3/1995,Walter Rossler Company massacre,"Corpus Christi, Texas",27.8005828,-97.396381
6/20/1994,Air Force base shooting,"Fairchild Air Force Base, Washington",47.6182629,-117.6438555
12/14/1993,Chuck E. Cheese's killings,"Aurora, Colorado",39.7294319,-104.8319195
12/7/1993,Long Island Rail Road massacre,"Garden City, New York",40.7267682,-73.6342954
8/6/1993,Luigi's shooting,"Fayetteville, North Carolina",35.0526641,-78.8783585
7/1/1993,101 California Street shootings,"San Francisco, California",37.7749295,-122.4194155
10/15/1992,Watkins Glen killings,"Watkins Glen, New York",42.3806287,-76.8732921
5/1/1992,Lindhurst High School shooting,"Olivehurst, California",39.0954484,-121.5521858
11/14/1991,Royal Oak postal shootings,"Royal Oak, Michigan",42.4894801,-83.1446485
11/1/1991,University of Iowa shooting,"Iowa City, Iowa",41.6611277,-91.5301683
10/16/1991,Luby's massacre,"Killeen, Texas",31.1171194,-97.7277959
6/18/1990,GMAC massacre,"Jacksonville, Florida",30.3321838,-81.655651
9/14/1989,Standard Gravure shooting,"Louisville, Kentucky",38.2526647,-85.7584557
1/17/1989,Stockton schoolyard shooting,"Stockton, California",37.9577016,-121.2907796
2/16/1988,ESL shooting,"Sunnyvale, California",37.36883,-122.0363496
4/23/1987,Shopping centers spree killings,"Palm Bay, Florida",28.0344621,-80.5886646
8/20/1986,United States Postal Service shooting,"Edmond, Oklahoma",35.6528323,-97.4780954
7/18/1984,San Ysidro McDonald's massacre,"San Ysidro, California",32.555556,-117.0470434
6/29/1984,Dallas nightclub shooting,"Dallas, Texas",32.7766642,-96.7969879
8/20/1982,Welding shop shooting,"Miami, Florida",25.7616798,-80.1917902
